arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed6,49.88125
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed7,49.2
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed8,51.50833333333333
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed9,50.12083333333333
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed10,52.229166666666664
gcn_complete,gnn_qmix,complete,pair,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gcn_complete__pair_N6_ego_attention__seed11,49.125
gnn_true,gnn_qmix,matching,pair,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed0,62.885416666666664
gnn_true,gnn_qmix,matching,pair,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed1,72.3875
gnn_true,gnn_qmix,matching,pair,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed2,66.89583333333333
gnn_true,gnn_qmix,matching,pair,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed3,68.50208333333333
gnn_true,gnn_qmix,matching,pair,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed4,66.16458333333334
gnn_true,gnn_qmix,matching,pair,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed5,61.670833333333334
gnn_true,gnn_qmix,matching,pair,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed6,72.69166666666666
gnn_true,gnn_qmix,matching,pair,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed7,61.50416666666667
gnn_true,gnn_qmix,matching,pair,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed8,68.16666666666667
gnn_true,gnn_qmix,matching,pair,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed9,62.74583333333333
gnn_true,gnn_qmix,matching,pair,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed10,67.73958333333333
gnn_true,gnn_qmix,matching,pair,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed11,61.889583333333334
mlp,mlp_qmix,matching,pair,attention,ego,6,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed0,49.858333333333334
mlp,mlp_qmix,matching,pair,attention,ego,6,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed1,49.2125
mlp,mlp_qmix,matching,pair,attention,ego,6,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed2,50.802083333333336
mlp,mlp_qmix,matching,pair,attention,ego,6,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed3,51.28958333333333
mlp,mlp_qmix,matching,pair,attention,ego,6,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed4,50.59791666666667
mlp,mlp_qmix,matching,pair,attention,ego,6,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed5,49.3375
mlp,mlp_qmix,matching,pair,attention,ego,6,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed6,48.916666666666664
mlp,mlp_qmix,matching,pair,attention,ego,6,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed7,48.797916666666666
mlp,mlp_qmix,matching,pair,attention,ego,6,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed8,48.92916666666667
mlp,mlp_qmix,matching,pair,attention,ego,6,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed9,49.7875
mlp,mlp_qmix,matching,pair,attention,ego,6,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed10,50.35625
mlp,mlp_qmix,matching,pair,attention,ego,6,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed11,50.322916666666664
