arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,steps,n_episodes,final
gnn_true,gnn_qmix,matching,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed7,150000,6000,102.69708333333334
gnn_true,gnn_qmix,matching,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed8,150000,6000,92.61708333333333
gnn_true,gnn_qmix,matching,pair,attention,ego,6,9,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed9,150000,6000,96.855
gnn_true,gnn_qmix,matching,pair,attention,ego,6,10,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed10,150000,6000,100.14666666666666
gnn_true,gnn_qmix,matching,pair,attention,ego,6,11,results\phaseC_150k\pair_N6_ego_attention\gnn_true__pair_N6_ego_attention__seed11,150000,6000,99.61916666666667
mlp,mlp_qmix,matching,pair,attention,ego,6,0,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed0,150000,6000,50.330416666666665
mlp,mlp_qmix,matching,pair,attention,ego,6,1,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed1,150000,6000,50.14
mlp,mlp_qmix,matching,pair,attention,ego,6,2,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed2,150000,6000,50.02291666666667
mlp,mlp_qmix,matching,pair,attention,ego,6,3,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed3,150000,6000,49.714166666666664
mlp,mlp_qmix,matching,pair,attention,ego,6,4,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed4,150000,6000,50.06041666666667
mlp,mlp_qmix,matching,pair,attention,ego,6,5,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed5,150000,6000,50.08208333333334
mlp,mlp_qmix,matching,pair,attention,ego,6,6,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed6,150000,6000,49.74375
mlp,mlp_qmix,matching,pair,attention,ego,6,7,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed7,150000,6000,50.13333333333333
mlp,mlp_qmix,matching,pair,attention,ego,6,8,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed8,150000,6000,50.20666666666666
mlp,mlp_qmix,matching,pair,attention,ego,6,9,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed9,150000,6000,49.479166666666664
mlp,mlp_qmix,matching,pair,attention,ego,6,10,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed10,150000,6000,49.794583333333335
mlp,mlp_qmix,matching,pair,attention,ego,6,11,results\phaseC_150k\pair_N6_ego_attention\mlp__pair_N6_ego_attention__seed11,150000,6000,49.78208333333333
