algo,n_agents,graph,seed,final_window_mean,self_threshold_80pct,episodes_to_80pct_of_own,n_episodes
qmix,8,erdos_renyi,1,80.75,64.60000000000001,969,1200
qmix,8,erdos_renyi,2,172.28333333333333,137.82666666666668,982,1200
qmix,8,erdos_renyi,3,132.80833333333334,106.24666666666667,1039,1200
qmix,8,erdos_renyi,4,84.325,67.46000000000001,820,1200
qmix,8,erdos_renyi,5,90.20833333333333,72.16666666666667,882,1200
qmix,8,erdos_renyi,6,166.025,132.82000000000002,940,1200
qmix,8,erdos_renyi,7,87.275,69.82000000000001,1095,1200
qmix,8,erdos_renyi,8,103.14166666666667,82.51333333333334,975,1200
qmix,8,erdos_renyi,9,66.18333333333334,52.94666666666667,862,1200
vdn,8,erdos_renyi,0,81.89166666666667,65.51333333333334,1047,1200
vdn,8,erdos_renyi,1,105.23333333333333,84.18666666666667,996,1200
vdn,8,erdos_renyi,2,51.166666666666664,40.93333333333334,935,1200
vdn,8,erdos_renyi,3,82.78333333333333,66.22666666666667,955,1200
vdn,8,erdos_renyi,4,75.61666666666666,60.49333333333333,898,1200
vdn,8,erdos_renyi,5,42.25,33.800000000000004,957,1200
vdn,8,erdos_renyi,6,86.575,69.26,1048,1200
vdn,8,erdos_renyi,7,38.8,31.04,950,1200
vdn,8,erdos_renyi,8,68.50833333333334,54.80666666666667,960,1200
vdn,8,erdos_renyi,9,59.083333333333336,47.26666666666667,943,1200
gnn_qmix,8,ring,0,13.6,10.88,670,1200
gnn_qmix,8,ring,1,13.016666666666667,10.413333333333334,671,1200
gnn_qmix,8,ring,2,30.45,24.36,892,1200
gnn_qmix,8,ring,3,28.858333333333334,23.08666666666667,853,1200
gnn_qmix,8,ring,4,16.9,13.52,815,1200
gnn_qmix,8,ring,5,17.983333333333334,14.386666666666668,665,1200
gnn_qmix,8,ring,6,13.9,11.120000000000001,790,1200
gnn_qmix,8,ring,7,19.25,15.4,848,1200
gnn_qmix,8,ring,8,9.833333333333334,7.866666666666667,24,1200
gnn_qmix,8,ring,9,31.433333333333334,25.14666666666667,931,1200
iql,8,ring,0,44.93333333333333,35.946666666666665,791,1200
iql,8,ring,1,48.958333333333336,39.16666666666667,884,1200
